sku,post_status,post_title,tags,stock,product_gallery,post_content,post_excerpt,category,manage_stock,stock_status,backorders,regular_price,weight,length,width,height,tax_status,tax_class,visibility,featured,featured_image,shipping_class,comment_status,ping_status,menu_order,change_stock,post_author
1004,private,1-10 Counting Owls Activity,Learning Resources,1,1_10_counting_owls_activity_2.jpg,Counting,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,1_10_counting_owls_activity_1.jpg,,open,open,,,dirkhonda
1005,public,1st Grade Vocabulary Cards,Learning Resources,1,1st_grade_vocabulary_cards_2.jpg|1st_grade_vocabulary_cards_3.jpg|1st_grade_vocabulary_cards_4.jpg,Vocabulary,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,1st_grade_vocabulary_cards_1.jpg,,open,open,,,dirkhonda
1006,public,6 Card Games Set,Brighter Child,1,6_card_games_set_2.jpg|6_card_games_set_3.jpg|6_card_games_set_4.jpg|6_card_games_set_5.jpg|6_card_games_set_6.jpg,,,Strategy,yes,instock,yes,1,1,3,4,5,none,,visible,no,6_card_games_set_1.jpg,,open,open,,,dirkhonda
1009,public,Activity Dollar,Miniland,2,activity_dollar_2.jpg,Currency Games,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,activity_dollar_1.jpg,,open,open,,,dirkhonda
1010,public,Activity Lacing,Miniland,2,activity_lacing_2.jpg,Manual Dexterity,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,activity_lacing_1.jpg,,open,open,,,dirkhonda
1012,public,Alphabet Go Fish,Peaceable Kingdom,1,alphabet_go_fish_2.jpg,Alphabet,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,alphabet_go_fish_1.jpg,,open,open,,,dirkhonda
1013,public,Alphabet Sequencing Puzzle,Lakeshore Learning,2,alphabet_sequencing_puzzle_2.jpg,Alphabet,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,alphabet_sequencing_puzzle_1.jpg,,open,open,,,dirkhonda
1014,public,Alphabet Train Puzzle,Melissa & Doug,1,,Alphabet,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,alphabet_train_puzzle_1.jpg,,open,open,,,dirkhonda
1015,public,Amazing Animals Now I'm Reading,Nora Gaydos,1,amazing_animals_now_i_m_reading_2.jpg,"Set of 10 books, Level 2 Beginner",,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,amazing_animals_now_i_m_reading_1.jpg,,open,open,,,dirkhonda
1016,public,Angles Flash Cards - Geometry,Learning Advantage,2,angles_flash_cards_geometry_2.jpg,Geometry Angles Flash Cards,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,angles_flash_cards_geometry_1.jpg,,open,open,,,dirkhonda
1017,public,Animal Antics Now I'm Reading,Nora Gaydos,2,animal_antics_now_i_m_reading_2.jpg,"Set of 10 books, Level 1 Beginner",,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,animal_antics_now_i_m_reading_1.jpg,,open,open,,,dirkhonda
1018,public,Animal Coverings,Carson Dellosa,1,animal_coverings_2.jpg|animal_coverings_3.jpg|animal_coverings_4.jpg,Animal Coverings,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,animal_coverings_1.jpg,,open,open,,,dirkhonda
1019,public,Animal Habitats,Carson Dellosa,1,animal_habitats_2.jpg|animal_habitats_3.jpg|animal_habitats_4.jpg,Animal Habitats,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,animal_habitats_1.jpg,,open,open,,,dirkhonda
1020,public,Animal Logic,Fat Brain Toys,1,animal_logic_2.jpg,Logic Puzzle Game,,Strategy,yes,instock,yes,1,1,3,4,5,none,,visible,no,animal_logic_1.jpg,,open,open,,,dirkhonda
1023,public,Back in Time Dinosaur Counters,Learning Resources,1,back_in_time_dinosaur_counters_2.jpg,"Counting, Classifying, Colors, Patterns",,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,back_in_time_dinosaur_counters_1.jpg,,open,open,,,dirkhonda
1024,public,Batman Phonics Fun I Can Read,Scholastic,2,batman_phonics_fun_i_can_read_2.jpg,"Batman Phonics Fun includes 12 action packed stories with a focus on short and long vowel sounds that assist the kids in identifying the auditory difference between the two.  This skill will become valuable as they understand how words are spelled and decoded.  We recommend that a parent reads these stories to their child first, asking the child to simply identify if a main word is an example of a short or long vowel sound.  The main words are not high frequency words, but again used to illustrate long or short vowel sounds therefore some early readers may become frustrated if they think they are supposed to recognize the words.  Make sure they know that is not the skill you are working on. ",,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,batman_phonics_fun_i_can_read_1.jpg,,open,open,,,dirkhonda
1025,public,Bee on Time,Carson Dellosa,1,bee_on_time_2.jpg|bee_on_time_3.jpg,Telling Time Game,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,bee_on_time_1.jpg,,open,open,,,dirkhonda
1027,public,Beginning Sounds Match Ups,Lakeshore Learning,1,,,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,beginning_sounds_match_ups_1.jpg,,open,open,,,dirkhonda
1028,public,Beginning Sounds Phonics Train,Lakeshore Learning,1,beginning_sounds_phonics_train_2.jpg,Phonics Skill Building,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,beginning_sounds_phonics_train_1.jpg,,open,open,,,dirkhonda
1029,public,Biscuit More Phonics Fun I Can Read,Scholastic,4,biscuit_more_phonics_fun_i_can_read_2.jpg,Biscuit and his animal friends will continue to entertain the youngest of readers with this 12 set collection.  Each book is broken down into a focus on a long or short vowel sound to assist in auditory recognition of each.  The short one sentence per page format is also very inviting to new emerging readers. A Parent's Guide is included.,,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,biscuit_more_phonics_fun_i_can_read_1.jpg,,open,open,,,dirkhonda
1030,public,Biscuit Phonics Fun I Can Read,Scholastic,2,biscuit_phonics_fun_i_can_read_2.jpg,What kid doesn't love puppies and their animal friends?  You can be sure they will love this 12 set collection.  Each book is broken down into a focus on a long or short vowel sound to assist in auditory recognition of each.  The short one sentence per page format is also very inviting to new emerging readers. A Parent's Guide is included.,,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,biscuit_phonics_fun_i_can_read_1.jpg,,open,open,,,dirkhonda
1032,public,Blast off With Punctuation,Carson Dellosa,1,blast_off_with_punctuation_2.jpg|blast_off_with_punctuation_3.jpg,punctuation game,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,blast_off_with_punctuation_1.jpg,,open,open,,,dirkhonda
1033,public,Blast Off With Rhymes,Carson Dellosa,1,blast_off_with_rhymes_2.jpg,Rhyming Words,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,blast_off_with_rhymes_1.jpg,,open,open,,,dirkhonda
1034,public,Blends,Lakeshore Learning,1,blends_2.jpg,Blends,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,blends_1.jpg,,open,open,,,dirkhonda
1036,public,Building Equivalency Center,Lakeshore Learning,1,building_equivalency_center_2.jpg,Fraction Equivalency,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,building_equivalency_center_1.jpg,,open,open,,,dirkhonda
1037,public,Camouflage,Carson Dellosa,1,camouflage_2.jpg|camouflage_3.jpg|camouflage_4.jpg,Camouflage,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,camouflage_1.jpg,,open,open,,,dirkhonda
1038,public,Can Do Numbers & Counting,Lakeshore Learning,1,can_do_numbers_counting_2.jpg,"Numbers, Counting",,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,can_do_numbers_counting_1.jpg,,open,open,,,dirkhonda
1040,public,Capture the Flag,Lakeshore Learning,1,capture_the_flag_2.jpg,Reading Comprehension Level 2,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,capture_the_flag_1.jpg,,open,open,,,dirkhonda
1042,public,Cauldron Quest,Peaceable Kingdom,1,cauldron_quest_2.jpg,"Cooperative, Strategy",,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,cauldron_quest_1.jpg,,open,open,,,dirkhonda
1043,public,Cause & Effect,Edupress,1,cause_effect_2.jpg|cause_effect_3.jpg,,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,cause_effect_1.jpg,,open,open,,,dirkhonda
1044,public,Cause & Effect Activity,Lakeshore Learning,1,cause_effect_activity_2.jpg|cause_effect_activity_3.jpg|cause_effect_activity_4.jpg,"This three part activity set is a fun hands on way to teach the concept of cause and effect. Using common household items like paper, scissors and glue your kids will design visual displays of their interpretation of how events unfold in a book of their choice.   They will learn to identify why an event occurred, how did the characters react to an event, how did the characters reaction to events shape the outcome of the story?  These activities together really develop the concept of becoming an active reader that examines the text for details.",,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,cause_effect_activity_1.jpg,,open,open,,,dirkhonda
1045,public,Change A Sound Flip Books,Lakeshore Learning,1,change_a_sound_flip_books_2.jpg,,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,change_a_sound_flip_books_1.jpg,,open,open,,,dirkhonda
1047,public,Character Analysis Activity,Lakeshore Learning,1,character_analysis_activity_2.jpg|character_analysis_activity_3.jpg|character_analysis_activity_4.jpg,"Character analysis is the ability to describe and understand how a character in the text may look, feel, or act.  It is also the skill that leads to an understanding of how a character's personality or experiences may shape their motives and future actions.  This set includes 3 hands on, visual activities that can be completed using paper, scissors, glue sticks, crayons and a pencil. ",,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,character_analysis_activity_1.jpg,,open,open,,,dirkhonda
1049,public,Climate,Carson Dellosa,1,climate_2.jpg|climate_3.jpg|climate_4.jpg,Climate,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,climate_1.jpg,,open,open,,,dirkhonda
1050,public,Clumsy Thief,Melon Rind,1,clumsy_thief_2.jpg|clumsy_thief_3.jpg,Money,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,clumsy_thief_1.jpg,,open,open,,,dirkhonda
1051,public,Coin Quest,Carson Dellosa,1,coin_quest_2.jpg|coin_quest_3.jpg,Counting Coin Values Game,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,coin_quest_1.jpg,,open,open,,,dirkhonda
1052,public,Color & Shape Puzzle,Ryan's Room,2,,"Colors, Shapes",,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,color_shape_puzzle_1.jpg,,open,open,,,dirkhonda
1053,public,Compare & Contrast Activity,Lakeshore Learning,1,compare_contrast_activity_2.jpg|compare_contrast_activity_3.jpg|compare_contrast_activity_4.jpg,"To compare and contrast is the ability to see how two or more things are the same and how they differ.  You can compare and contrast events, settings, ideas, characters or even 2 stories.  This set includes 3 hands on activities that assist your child in effectively walking through this skill set. Materials needed include paper and pencil.",,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,compare_contrast_activity_1.jpg,,open,open,,,dirkhonda
1054,public,Compound Word Orchard,Carson Dellosa,1,compound_word_orchard_2.jpg|compound_word_orchard_3.jpg,Compound Words,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,compound_word_orchard_1.jpg,,open,open,,,dirkhonda
1055,public,Context Clues,Edupress,1,context_clues_2.jpg,Context Clues for Comprehension Cards,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,context_clues_1.jpg,,open,open,,,dirkhonda
1056,public,Count & Color,Learning Resources,1,count_color_2.jpg,"Counting, Colors",,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,count_color_1.jpg,,open,open,,,dirkhonda
1057,public,Count On Park Game,Lakeshore Learning,2,count_on_park_game_2.jpg,Counting,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,count_on_park_game_1.jpg,,open,open,,,dirkhonda
1060,public,Countries of The World,Professor Noggin's,1,countries_of_the_world_2.jpg|countries_of_the_world_3.jpg,Card Game,,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,countries_of_the_world_1.jpg,,open,open,,,dirkhonda
1062,public,Cross Section Brain Model,Learning Resources,1,cross_section_brain_model_2.jpg|cross_section_brain_model_3.jpg,Model of Brain,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,cross_section_brain_model_1.jpg,,open,open,,,dirkhonda
1063,public,Cross Section Human Eye Model,Learning Resources,1,,Model of Human Eye,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,cross_section_human_eye_model_1.jpg,,open,open,,,dirkhonda
1064,public,Cupcake Checkers,Peaceable Kingdom,1,cupcake_checkers_2.jpg,Strategy,,Strategy,yes,instock,yes,1,1,3,4,5,none,,visible,no,cupcake_checkers_1.jpg,,open,open,,,dirkhonda
1065,public,Curious George Curious About Phonics,Scholastic,1,curious_george_curious_about_phonics_2.jpg,"Curious George is always ready for fun in this 12 set collection which includes a parent guide as well.  This is an early reader set which includes short, 1 to 2 sentences per page and includes many high frequency words to enhance the reading skills of new readers.",,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,curious_george_curious_about_phonics_1.jpg,,open,open,,,dirkhonda
1066,public,Data & Graphing Instant Learning Center,Lakeshore Learning,1,data_graphing_instant_learning_center_2.jpg,Data and Graphing,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,data_graphing_instant_learning_center_1.jpg,,open,open,,,dirkhonda
1068,public,Decoding Flash Cards,Junior Learning,3,,,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,decoding_flash_cards_1.jpg,,open,open,,,dirkhonda
1069,public,Demonstration Clock,Learning Resources,2,,,,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,demonstration_clock_1.jpg,,open,open,,,dirkhonda
1070,public,Digging for Nouns & Verbs,Carson Dellosa,1,digging_for_nouns_verbs_2.jpg|digging_for_nouns_verbs_3.jpg,nouns and verbs game,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,digging_for_nouns_verbs_1.jpg,,open,open,,,dirkhonda
1072,public,Diving for Digraphs,Carson Dellosa,1,diving_for_digraphs_2.jpg|diving_for_digraphs_3.jpg,vowel diagraphs game,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,diving_for_digraphs_1.jpg,,open,open,,,dirkhonda
1075,public,Dressing for Weather,Carson Dellosa,1,dressing_for_weather_2.jpg|dressing_for_weather_3.jpg|dressing_for_weather_4.jpg,Dressing for Weather,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,dressing_for_weather_1.jpg,,open,open,,,dirkhonda
1077,public,Fact & Opinion Activity,Lakeshore Learning,1,,"Help instill a strong understanding of the difference between fact and opinion statements in text with these three fun activities.  These activities are hands on, visual ways of having a child display their understanding of the fact vs. opinion concept.  Using paper, crayons, and pencils all activities can be completed simply.",,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,fact_opinion_activity_1.jpg,,open,open,,,dirkhonda
1078,public,Fact & Opinion Bingo,Lakeshore Learning,1,fact_opinion_bingo_2.jpg,"Fact, Opinion ",,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,fact_opinion_bingo_1.jpg,,open,open,,,dirkhonda
1079,public,Fact or Opinion,Edupress,1,fact_or_opinion_2.jpg|fact_or_opinion_3.jpg,Reading Comprehension Practice Cards,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,fact_or_opinion_1.jpg,,open,open,,,dirkhonda
1080,public,Fancy Nancy's Fantastic Phonics,I Can Read,1,fancy_nancy_s_fantastic_phonics_2.jpg,Fancy Nancy transports your youngster into a world of whimsy with this 12 set collection.  Each book is broken down into a focus on a long or short vowel sound to assist in auditory recognition of each.  The short one sentence per page format is also very inviting to new emerging readers. A Parent's Guide is included.,,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,fancy_nancy_s_fantastic_phonics_1.jpg,,open,open,,,dirkhonda
1084,public,Find & Count Colors,Hape,1,find_count_colors_2.jpg,"Colors, Counting",,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,find_count_colors_1.jpg,,open,open,,,dirkhonda
1085,public,First 100 Sight Words,Super Duper ,2,first_100_sight_words_2.jpg,Flash Cards,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,first_100_sight_words_1.jpg,,open,open,,,dirkhonda
1087,public,Float or Sink,Carson Dellosa,1,float_or_sink_2.jpg|float_or_sink_3.jpg|float_or_sink_4.jpg,Sorting Tools,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,float_or_sink_1.jpg,,open,open,,,dirkhonda
1089,public,Fly Guy's Buzz Words Game,Scholastic,2,,Sight Words Game,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,fly_guy_s_buzz_words_game_1.jpg,,open,open,,,dirkhonda
1091,public,Food Groups,Carson Dellosa,1,food_groups_2.jpg|food_groups_3.jpg|food_groups_4.jpg,Food Groups,,Science,yes,instock,yes,1,1,3,4,5,none,,visible,no,food_groups_1.jpg,,open,open,,,dirkhonda
1092,public,Football Folly Compare & Contrast,Lakeshore Learning,1,football_folly_compare_contrast_2.jpg|football_folly_compare_contrast_3.jpg,Compare & Contrast,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,football_folly_compare_contrast_1.jpg,,open,open,,,dirkhonda
1093,public,Fraction Matchin,Educational Insights,1,,Equivalent Fractions Game,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,fraction_matchin_1.jpg,,open,open,,,dirkhonda
1094,public,Fraction Pizzeria,Carson Dellosa,1,fraction_pizzeria_2.jpg|fraction_pizzeria_3.jpg,Fractions Game,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,fraction_pizzeria_1.jpg,,open,open,,,dirkhonda
1095,public,Fractions,Lakeshore Learning,1,fractions_2.jpg,Fraction Puzzles,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,fractions_1.jpg,,open,open,,,dirkhonda
1096,public,Fractions Bingo,Trend Enterprises,2,fractions_bingo_2.jpg|fractions_bingo_3.jpg,Fractions,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,fractions_bingo_1.jpg,,open,open,,,dirkhonda
1099,public,Friends & Neighbors,Peaceable Kingdom,1,friends_neighbors_2.jpg,Social Skills,,Social Skills,yes,instock,yes,1,1,3,4,5,none,,visible,no,friends_neighbors_1.jpg,,open,open,,,dirkhonda
1100,public,Frog Pond Fractions,Trend Enterprises,2,frog_pond_fractions_2.jpg,Fractions Game,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,frog_pond_fractions_1.jpg,,open,open,,,dirkhonda
1102,public,Get in The Picture,Learning Resources,1,,Reading Comprehension,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,get_in_the_picture_1.jpg,,open,open,,,dirkhonda
1103,public,Get Ready to Read Toddler Milestones,Leap Frog,1,get_ready_to_read_toddler_milestones_2.jpg,Social Skills,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,get_ready_to_read_toddler_milestones_1.jpg,,open,open,,,dirkhonda
1104,public,Grab & Play Game Native Americans,Lakeshore Learning,1,grab_play_game_native_americans_2.jpg,Card Game,,Reading,yes,instock,yes,1,1,3,4,5,none,,visible,no,grab_play_game_native_americans_1.jpg,,open,open,,,dirkhonda
1105,public,Grandma's Trunk,Educational Insights,1,,alphabet,,Language Arts,yes,instock,yes,1,1,3,4,5,none,,visible,no,grandma_s_trunk_1.jpg,,open,open,,,dirkhonda
1106,public,Graphing Learning Center,Lakeshore Learning,1,graphing_learning_center_2.jpg,Graphing,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,graphing_learning_center_1.jpg,,open,open,,,dirkhonda
1107,public,Greater Gator Answer Boards,Learning Resources,1,greater_gator_answer_boards_2.jpg,Number Value,,Math,yes,instock,yes,1,1,3,4,5,none,,visible,no,greater_gator_answer_boards_1.jpg,,open,open,,,dirkhonda
